text,source,date,segment,rating
O aplicativo trava toda vez que tento cadastrar meu fluxo do WhatsApp.,reclame-aqui,2026-04-14,smb,2
Já perdi minha configuração três vezes por causa de travamentos no cadastro de fluxo.,reclame-aqui,2026-04-15,smb,1
App crashes every time I try to set up a new WhatsApp flow. Lost my work twice.,google-play,2026-04-16,smb,1
O fluxo trava na tela de templates sem mensagem de erro. Preciso recomeçar do zero.,reclame-aqui,2026-04-17,smb,2
Meu fluxo de WhatsApp travou durante a configuração e perdi tudo que havia criado.,g2,2026-04-18,smb,2
O bot parou de responder após reconectar o WhatsApp. Tive que reconfigurar tudo.,reclame-aqui,2026-04-20,smb,1
Após atualizar o app o bot não responde mais. Clientes reclamando que ninguém atende.,reclame-aqui,2026-04-21,enterprise,1
Bot stopped responding completely after I reconnected my WhatsApp account.,google-play,2026-04-22,smb,1
Depois de reconectar o número o bot ficou mudo. Perdi vendas por isso.,reclame-aqui,2026-04-23,smb,1
O período de teste expirou antes de eu conseguir ativar meu primeiro fluxo. Não tive tempo.,reclame-aqui,2026-05-01,smb,2
Trial acabou no meio da configuração. Fui cobrado sem ter usado o produto.,g2,2026-05-02,smb,2
My trial expired while I was still setting up. I never got to use the product.,capterra,2026-05-03,smb,3
O aplicativo travou durante o trial e não consegui reativar sem pagar.,reclame-aqui,2026-05-04,smb,1
Seria muito bom ter integração com Instagram Direct além do WhatsApp.,g2,2026-05-10,smb,4
Quero integração com Instagram. Sem isso fico limitado a um canal só.,reclame-aqui,2026-05-11,smb,3
Would love Instagram DM integration. WhatsApp only is limiting for my business.,capterra,2026-05-12,enterprise,3
Falta integração com Instagram Direct. Perco clientes que só usam Stories.,g2,2026-05-13,smb,3
A interface de configuração de fluxo é confusa. Não entendi onde colocar as respostas automáticas.,reclame-aqui,2026-05-15,smb,3
Como faço para configurar uma resposta automática? Não encontro a opção no menu.,g2,2026-05-16,smb,3
Não consigo entender como adicionar variáveis ao template. A documentação não ajuda.,capterra,2026-05-17,smb,3
Ótimo produto! Transformou meu atendimento. Recomendo para todos os salões.,google-play,2026-05-20,smb,5
Adorei o aplicativo. Muito fácil de usar e meus clientes adoraram o bot.,google-play,2026-05-21,smb,5
Fantastic app, super easy to set up. My response rate doubled in one week.,capterra,2026-05-22,enterprise,5
Produto incrível. Economizei horas por semana com o atendimento automatizado.,g2,2026-05-23,smb,5
O aplicativo trava toda vez que tento cadastrar meu fluxo do WhatsApp.,reclame-aqui,2026-04-14,smb,2
App crashes every time I try to set up a new WhatsApp flow. Lost my work twice.,google-play,2026-04-16,smb,1
,reclame-aqui,2026-04-25,smb,3
ok,g2,2026-04-26,smb,2
👍,google-play,2026-04-27,smb,4
não,capterra,2026-04-28,smb,1
This app is great but also has problems and sometimes works and sometimes does not and I am not sure what to think about it overall because on one hand the setup was easy but on the other hand the bot keeps crashing and the support never responds and I have been waiting for three weeks and nobody helped me and I lost all my flows and I had to start over multiple times and it is very frustrating,reclame-aqui,2026-04-30,smb,2
Boa noite,g2,2026-05-05,smb,3
Olá equipe suporte tudo bem?,capterra,2026-05-06,smb,3
O aplicativo trava frequentemente mas é muito bom para o meu negócio de salão de beleza.,reclame-aqui,2026-05-08,smb,3
O preço é muito alto para pequenas empresas. Não justifica o custo mensal.,reclame-aqui,2026-05-25,smb,2
The monthly fee is too expensive for a small business like mine.,g2,2026-05-26,smb,2
Para o valor que cobram esperava algo mais completo.,capterra,2026-05-27,smb,2
O suporte demora mais de 48h para responder. Inaceitável para um problema crítico.,reclame-aqui,2026-06-01,enterprise,1
Support takes 3-5 business days to respond. Unacceptable when your bot is down.,capterra,2026-06-02,enterprise,1
Já abri 3 tickets e ninguém me respondeu. Bot parado há uma semana.,reclame-aqui,2026-06-03,smb,1
Atendimento ao cliente inexistente. Problema crítico sem resposta.,g2,2026-06-04,enterprise,1
